"stationname","avg_pm25","avg_pm10"
"관악구","19.0","34.333333333333336"
"노원구","18.0","31.0"
"도봉구","18.0","25.666666666666668"
"강남구","17.666666666666668","30.0"
"종로구","17.666666666666668","29.333333333333332"
"동대문구","17.0","27.666666666666668"
"용산구","17.0","32.333333333333336"
"강북구","16.333333333333332","27.0"
"중구","15.666666666666666","26.333333333333332"
"동작구","15.666666666666666","26.666666666666668"
"서대문구","15.333333333333334","30.666666666666668"
"금천구","15.333333333333334","24.333333333333332"
"강서구","15.333333333333334","28.666666666666668"
"광진구","15.333333333333334","31.666666666666668"
"성북구","14.0","29.0"
"마포구","14.0","23.0"
"양천구","14.0","25.666666666666668"
"은평구","13.333333333333334","30.666666666666668"
"강동구","13.0","31.0"
"서초구","13.0","29.666666666666668"
"송파구","12.666666666666666","27.0"
"영등포구","12.333333333333334","23.666666666666668"
"구로구","11.666666666666666","28.333333333333332"
"성동구","11.666666666666666","26.666666666666668"
